1000,3000,10000,30000,100000,1-level,2-level,3-level,4-level,5-level,6-level,7-level,8-level,9-level,10-level,11-level,12-level,13-level,14-level,15-level,16-level,17-level,18-level,19-level,20-level,benchmark,benchmark10,Predictive value
32399.5,32396,32394.8,32390.3,32394.3,32399.5,32397.75,32398,32399,32399,32399.25,32397.5,32397.25,32396,32396.75,32397.5,32397.75,32397.25,32397.25,32397.5,32397.75,32397.75,32398.75,32398.25,32398.5,32396.77,32397.91,32396.87751
32399,32399,32396.5,32394.8,32393,32401.25,32399.25,32399,32399.75,32399.5,32399.5,32399.5,32397,32395.5,32395.75,32395.25,32395.25,32396,32396.5,32396.5,32396.5,32396,32395.75,32396.25,32397.25,32397.91,32391.99,32397.33744
32394.8,32393.8,32390.5,32391,32390.3,32394.75,32393.75,32391,32391,32390.75,32390.75,32390,32389.25,32389.5,32389.5,32389.5,32389.25,32389.25,32389,32390,32390.75,32389.75,32388.25,32388.25,32387.75,32391.99,32389.75,32391.14777
32391.8,32389.8,32389,32386.3,32387.3,32391.75,32390.25,32390.5,32390.25,32390.75,32390.5,32390.5,32390.5,32390,32387.75,32388.25,32388.25,32388.25,32388.5,32388.5,32388,32389,32388,32388,32388.25,32389.75,32390.69,32389.52089
32392.3,32392,32388.3,32388,32391,32392.25,32392.25,32390.25,32390.75,32390.5,32390.5,32390,32389.5,32389.75,32390,32390.25,32390.5,32390,32390,32391.25,32390,32390,32389.5,32389.5,32389.5,32390.69,32385.09,32390.30114
32385.5,32383.5,32383.5,32384.3,32386.8,32385.5,32386.25,32386,32385.25,32385.5,32385.5,32385.5,32384.75,32385,32385,32383.75,32383.75,32383.25,32382.5,32382,32382.5,32382.25,32382.25,32382.75,32382.75,32385.09,32388.28,32384.90741
32388,32388.5,32387.5,32388.5,32387.3,32389.5,32388.5,32388.25,32388.25,32388.5,32388.5,32388.5,32388.25,32388.25,32388,32386.5,32386.75,32386.75,32386.5,32387.25,32386.75,32387.5,32387,32387,32388.25,32388.28,32391.04,32387.92745
32391.3,32390.8,32389.5,32391.3,32391.5,32393,32392,32391,32391,32390.25,32390.25,32390.25,32389.75,32389.75,32389.75,32389.75,32390.5,32390.75,32391.5,32391.75,32391.75,32391.5,32391.5,32391.5,32391,32391.04,32390.74,32390.64405
32393,32392.3,32390,32387,32390.8,32393,32392.5,32390.5,32390.5,32390,32389,32389,32389.25,32389.5,32389.5,32390,32389.75,32390,32390.5,32390,32390.25,32391.25,32391.75,32392,32392,32390.74,32394.71,32390.50243
32396,32395.3,32394.3,32395.5,32391,32396,32396.25,32395.5,32394,32393.75,32394.5,32394.25,32394.25,32393.75,32392.75,32392.75,32393.25,32392.5,32392.5,32392.75,32393.75,32394.25,32393.5,32393.75,32394,32394.71,32395.59,32394.09717
32396,32395.3,32394.3,32396.8,32391,32398.25,32397,32397.75,32397,32395.5,32395.5,32395.25,32394.75,32394.75,32394.25,32394,32394,32394,32394,32393,32394,32394.5,32394.5,32394.5,32394.25,32395.59,32397.79,32395.00746
32398.3,32397,32396.3,32397.5,32400.8,32399.75,32399.25,32398.25,32397.5,32396.25,32396,32395.75,32395.5,32395.75,32395.75,32396.5,32397.75,32397.75,32396.75,32396.5,32396.75,32396,32396,32396.5,32396.5,32397.79,32396.74,32397.44245
