"1000","3000","10000","30000","100000",1-level,2-level,3-level,4-level,5-level,6-level,7-level,8-level,9-level,10-level,11-level,12-level,13-level,14-level,15-level,16-level,17-level,18-level,19-level,20-level,benchmark,y
57523.2,57522.8,57524,57523.5,57524.5,57523,57522.75,57522.75,57523.5,57523.5,57523.75,57523.75,57523.75,57523.5,57523.5,57523.5,57523.75,57523.5,57523.75,57523.25,57523,57527,57526.25,57526.25,57527.25,57523.4,57519.6
57519.2,57518.2,57518.8,57519,57520.5,57519.25,57519,57520,57520.5,57520.5,57520.25,57520.75,57520.75,57519.75,57520.5,57519.5,57520.25,57519.75,57518.5,57519.75,57519.5,57519.5,57519.25,57520.25,57519.75,57519.6,57560.8
57562,57560.5,57560.2,57561,57564,57561.75,57560.5,57561.5,57561.5,57561.25,57559.5,57559.25,57558.75,57556.5,57557.5,57557.75,57557.5,57557.5,57558.75,57558.75,57558,57558,57558.5,57556,57556.25,57560.8,57559.2
57560.8,57557.5,57558.8,57559.5,57558.2,57560.75,57561,57560.25,57560,57560,57559,57559.25,57559,57556.75,57558.25,57558,57557.75,57558,57557.25,57557,57556.25,57556,57558.5,57556,57555.5,57559.2,57545.3
57543.8,57542.5,57544,57547.8,57549.2,57543.75,57544.75,57544.75,57546.25,57546.25,57545.75,57545.75,57547,57545.25,57545.75,57545,57546.75,57546,57547,57547.25,57547,57547.75,57548.25,57548.5,57547.75,57545.3,57543.8
57542.8,57542.8,57542,57545,57546,57543,57543,57543.5,57543.25,57543.5,57543,57545,57545,57544.25,57544,57543.25,57543.75,57544.5,57543.75,57545.25,57544,57544,57545,57545,57545.25,57543.8,57543.5
57542.8,57542.8,57542,57545,57548.5,57543,57543,57543,57542,57541.25,57542,57542.5,57544,57544,57543.75,57543.25,57542.75,57542,57542,57542.5,57543.25,57543.75,57543.75,57545,57544.5,57543.5,57535.1
57535.2,57535.2,57533.5,57532.5,57539.8,57535.5,57535.5,57534,57535,57534.75,57534.75,57534.5,57535.25,57536,57536,57535.5,57536,57534.5,57533.75,57534.25,57534.25,57534,57534.25,57534.25,57538,57535.1,57571.3
57572.8,57572.8,57567.5,57570.5,57575.8,57572.75,57571.75,57569.25,57569,57569.5,57570.75,57570.25,57571,57571.5,57570.25,57569.75,57569.5,57569.25,57567.25,57566.75,57564.75,57566.5,57565.25,57565.5,57565,57571.3,57588.9
57589.8,57589.8,57587.5,57582.5,57589.2,57589.75,57589.75,57590.5,57591,57587.75,57589,57592.5,57591.75,57589.5,57591,57591.75,57592.25,57592.75,57592.5,57592.75,57589.25,57589.5,57588,57587.25,57586.25,57588.9,57589.5
57588.5,57588.5,57589.2,57590.2,57593,57588.75,57590,57590.25,57590.5,57590,57587.5,57588.25,57588.75,57588.25,57590.25,57590.5,57590.75,57589,57588.25,57588.25,57588.25,57588.5,57589.25,57590.75,57586.5,57589.5,57586
57586.8,57586.5,57587,57589,57586.5,57586.5,57586.5,57585,57584.5,57584.5,57583.5,57584,57583,57583.75,57581,57581,57581,57580.75,57580.5,57580.5,57583.25,57583.75,57583.25,57583.25,57581.25,57586,57566.6
57564.8,57564.8,57565,57568,57570.2,57565,57566.5,57566,57567,57566.75,57568.25,57568,57567.75,57567.25,57567.25,57567.25,57567.5,57566.25,57567.25,57567.25,57567.25,57565,57564.5,57565.5,57565.25,57566.6,57541.8
57542.2,57539.2,57539.2,57542.5,57546.2,57542.25,57541.25,57540,57540.5,57541,57542.25,57541.75,57543,57543,57543.5,57543.25,57543,57543.5,57545.25,57545.5,57545,57544.25,57545,57544.5,57544.5,57541.8,57524.1
57527.2,57527.2,57523.8,57520,57521,57527.25,57524.5,57524.25,57524.25,57523.5,57523.75,57522.75,57524.75,57524,57524.25,57524.25,57524.5,57524.75,57525.25,57525.25,57525.25,57524.75,57525,57529.75,57529.25,57524.1,57571.5
57571.5,57572.2,57572,57571,57571,57571.25,57569.25,57572,57572.25,57572.5,57572.5,57572,57571.25,57569.75,57569.75,57570.5,57570.25,57569,57569,57567.25,57567.25,57567.5,57566.25,57567.5,57567.75,57571.5,57569.6
57569.8,57571,57571,57566,57569.5,57569.75,57569,57569.75,57570,57569.75,57569.75,57570.25,57567.75,57569,57568.75,57568,57568,57568.5,57568.25,57567,57566.25,57565.25,57565.75,57564.5,57564.75,57569.6,57584.2
57585.8,57585,57583.2,57580.2,57582.5,57585.5,57585,57585.25,57586.25,57586,57585.25,57585,57583.25,57583.75,57583,57583,57580.5,57580.5,57580.5,57580,57578.25,57578.5,57578,57578.25,57577.5,57584.2,57608.1
57609.8,57609.8,57609.8,57609.8,57603.5,57609.75,57609.75,57609.75,57609.25,57608,57606.5,57606.75,57606.25,57603.75,57606.5,57606.5,57604.25,57604.25,57603.5,57605,57605.5,57605.5,57603,57602.5,57599.75,57608.1,57609.3
57608,57611,57609.8,57610.2,57610.2,57608,57610.5,57610.25,57608.75,57610,57610.25,57607.25,57608.25,57607.75,57607.25,57607.5,57606.75,57606.75,57606.75,57606,57605.5,57605,57605.75,57605.25,57604.75,57609.3,57608.9
57610.8,57610.8,57609.2,57603.2,57605.8,57610.75,57610.5,57611.5,57608.25,57611,57609.75,57609.5,57608,57606.25,57607.5,57607.5,57606.5,57606.5,57610.25,57609.75,57607.5,57607.5,57608.5,57607.75,57608.75,57608.9,57577.7
57577.2,57578.8,57582,57579.8,57574.2,57577.25,57577.25,57576.5,57576.25,57580.75,57579.5,57575.75,57575,57574.75,57574.25,57574.25,57574.25,57575,57575.25,57577.5,57577,57578.25,57578.25,57578.75,57579.75,57577.7,57600.7
57600.8,57599.2,57601,57597.5,57602.2,57600.75,57601.25,57601,57601.25,57600.75,57602.75,57601.75,57601.5,57602,57600.25,57599.5,57601,57600.75,57599,57599,57598,57596.5,57596.75,57599.25,57595.75,57600.7,57597.9
57598.5,57599,57601,57596.8,57597.5,57598.5,57598.5,57598.5,57598.25,57598.75,57598,57595.25,57595.5,57595.5,57595.5,57594.5,57593,57593,57593.5,57594.5,57595,57595.25,57595.5,57594,57594.75,57597.9,57562.7
57563.8,57563.8,57563.8,57561.2,57555.5,57563.75,57563.75,57566.5,57564,57563.75,57561.75,57562.5,57561,57562.25,57561.25,57562,57562,57562,57562,57562.25,57562.25,57562,57562.25,57565.5,57565.25,57562.7,57581
57585,57583.2,57581,57573,57580.2,57585,57583.5,57582.5,57583,57581.75,57581.75,57579.75,57578.5,57578.5,57577.75,57577.75,57576.75,57577.25,57578.5,57580.5,57580.5,57580.5,57580.75,57579.25,57579.5,57581,57580.5
57582.2,57583.8,57584.2,57577,57577.8,57582.25,57583.25,57583.5,57582.25,57579.5,57577.75,57577,57577,57577.5,57576.75,57577.5,57576.5,57577.5,57577.5,57577.75,57578,57578,57579.75,57579.25,57577.5,57580.5,57556
57555.5,57556.2,57557,57557,57553.8,57555.5,57555,57556,57556,57556.5,57556,57556,57557,57556.25,57556.25,57555.75,57557,57557,57558,57556.75,57556,57555.75,57555.5,57556,57555.5,57556,57580.1
57577,57580.8,57581.2,57584,57581.2,57577.25,57579.25,57580.5,57579.75,57579.5,57582.25,57580,57580,57579.75,57578.5,57579.25,57578.25,57579,57579.25,57579.25,57579.25,57579,57580,57580,57576.75,57580.1,57613.5
57611.5,57611.5,57608.5,57613.2,57619.5,57611.75,57616.25,57615,57616.5,57616.5,57614.5,57614.5,57614,57613,57613,57613.25,57613.25,57611.75,57613.25,57614.75,57614.5,57613.5,57611,57611.25,57610.25,57613.5,57612.3
57613.2,57610.2,57610,57611,57617.5,57613.25,57610.25,57611,57612.75,57612.5,57613.25,57612.75,57612.75,57611.75,57611.75,57609.75,57610,57609.5,57609.5,57609,57609,57607,57608.25,57604.75,57604.75,57612.3,57612.7
57614,57611.8,57611.8,57613.5,57620.5,57614.25,57615.75,57614,57612.25,57611.5,57611.25,57607.5,57608.5,57608.25,57609,57609,57609.25,57609.25,57608,57609,57608.5,57607.75,57607.75,57607.5,57607,57612.7,57611.2
57612.8,57613,57611.2,57607,57608.2,57613,57613,57613.25,57612,57612.75,57613.5,57610.5,57610.5,57610.5,57610.5,57608.25,57608.25,57608.75,57608.75,57608.75,57607.25,57605.75,57606,57606,57604.75,57611.2,57590.1
57591.8,57591.8,57595.2,57591.5,57593.8,57591.75,57585.75,57585.75,57585.25,57587.5,57586.5,57587.25,57587.5,57585,57585.25,57584.5,57586.25,57586.25,57584.75,57585.25,57586.25,57585.5,57584,57584.25,57584.25,57590.1,57608.2
57610,57608.5,57608,57606.8,57606.2,57610,57608.5,57608.5,57608.5,57608.75,57608.5,57607.25,57608,57608,57606.5,57605.5,57605.5,57605,57606,57606.25,57605.5,57606,57605,57605.5,57605.25,57608.2,57618.3
